date,variant_00,variant_01,variant_02,variant_03,variant_04,variant_05,variant_06,variant_07,variant_08,variant_09,variant_10,variant_11,variant_12,variant_13,variant_14,variant_15,variant_16,variant_17,variant_18,variant_19
2022-01-17,-0.009696,-0.01694,-0.002811,-0.000457,0.006967,-0.008246,-0.002024,0.008923,-0.010076,-0.001109,-0.003745,-0.014556,-0.001301,0.011092,0.022309,-0.014571,0.009196,0.011028,0.012063,-0.004451
2022-01-18,0.003062,-0.006196,0.005522,0.011903,-0.002561,0.002131,0.008512,0.007094,-0.006697,0.013623,0.004767,0.001466,0.000328,0.006915,0.010225,-0.01274,-0.008734,-0.017294,0.004398,0.003823
2022-01-19,-0.003518,-0.010988,0.013076,0.015984,0.015773,0.000488,0.001394,0.001372,-0.00136,-0.012284,-0.006067,0.008153,-3e-05,-0.004768,-0.00252,0.017495,0.014869,0.011021,0.001765,-0.012101
2022-01-20,0.001941,-0.003226,0.006196,0.010234,-0.006825,0.013182,0.000579,0.0009,-0.005583,-0.001861,0.000935,-0.001997,-0.003167,-0.003943,0.020376,-0.002055,0.007558,0.000774,-0.029209,0.031216
2022-01-21,1.4e-05,-0.005516,0.013152,0.014847,-0.005703,-0.00832,-0.008865,0.003498,0.001633,0.007841,-0.001139,-0.005125,0.001192,-0.005714,0.0066,0.004169,0.005561,0.004523,-0.004193,-0.017231
2022-01-24,0.012672,0.010849,-0.007437,0.008992,0.001551,-0.000733,-6.6e-05,-0.008308,-0.001309,0.000521,0.00203,-0.006263,0.003829,-0.005826,-0.005047,0.000793,-0.004633,-0.010341,-0.005302,-0.007031
2022-01-25,0.001263,0.006719,0.005803,-0.006761,-0.003638,0.002613,-0.016269,0.008483,0.012125,0.006822,-0.021914,0.002571,-0.018631,0.009147,-0.021874,-0.01431,0.003461,-0.014428,-0.027746,-0.011031
2022-01-26,0.004258,-0.012019,-0.011163,0.001567,-0.000201,0.012269,0.008393,-0.003556,-0.007305,0.010602,-0.006992,-0.01117,0.004482,-0.006244,-0.01573,0.005997,0.008878,-0.012202,-0.003838,-0.004916
2022-01-27,-0.001773,-0.004596,-0.015225,0.000239,-0.003437,0.00126,0.006575,0.008108,0.004218,-0.026421,-0.010434,0.000841,0.008202,-0.010375,-0.007905,0.017285,-0.025633,-0.003405,-0.006841,-0.004183
2022-01-28,-0.003676,0.006399,0.009533,0.030897,0.017986,-0.000572,0.002575,0.010615,0.026876,-0.001769,0.004125,-0.001723,0.012057,-0.013551,0.001573,-0.013207,0.002876,0.008168,-0.003895,-0.002211
2022-01-31,0.011541,-0.000943,0.005789,-0.002284,-0.00923,-0.004053,0.021209,-0.002704,0.00072,0.012215,0.003912,0.005599,0.023236,0.00947,-0.007889,0.007066,-0.005749,-0.00328,0.010957,0.000878
2022-02-01,-0.002743,-0.005484,0.001632,-0.002546,0.009921,0.002209,-0.001381,0.031077,0.003379,-0.007087,-0.01228,-0.011192,-0.0136,-0.0008,-0.000185,0.006062,-0.010064,-0.004654,-0.005747,0.016546
2022-02-02,0.001458,0.004448,0.011206,0.002339,-0.000555,-0.004284,-0.002897,-0.000341,-0.00233,-0.00228,0.019119,-0.013294,-0.020574,0.003829,0.013824,-0.00264,0.008419,0.016624,-0.002236,0.002205
2022-02-03,-0.008133,-0.006285,-0.003939,0.007432,0.014988,0.007,-0.008531,-0.00769,-0.003541,0.000258,0.006028,-0.014778,-0.010302,0.01809,0.00493,0.004443,-0.013683,0.010582,0.005774,-0.014281
2022-02-04,-0.011974,0.006713,-0.012781,0.006402,-0.004977,0.007065,0.009552,0.018984,-0.01726,-0.014283,-0.000674,0.017305,0.005497,-0.013238,0.009475,-0.000418,0.013253,-0.01128,0.009628,0.014232
2022-02-07,-0.009578,0.001785,0.004839,0.002415,-0.008295,0.010553,-0.008761,0.001295,0.005363,0.004061,0.006408,-0.017813,-0.022422,0.002616,0.00373,0.01435,-0.001988,-0.00135,-0.014707,0.004235
2022-02-08,0.014617,-0.00374,0.004914,0.012171,0.012127,0.009655,0.010562,-0.033494,-0.018424,0.003992,-0.016584,0.010033,-0.005478,-0.015433,0.009053,-0.006206,-0.009551,0.007732,-0.001959,-0.011822
2022-02-09,-0.010667,-0.016223,0.01647,0.013345,0.000574,-0.006746,0.004945,-0.001904,0.007973,0.006399,0.000677,-0.002671,0.006137,0.000119,-0.01648,0.002936,0.018113,-0.003618,0.002753,-0.003231
2022-02-10,0.002919,-0.002885,0.023807,0.004807,0.000473,0.003357,0.0012,0.014934,-0.006814,-0.007916,0.00575,-0.001887,-0.006128,-0.018496,1.9e-05,-0.005668,0.010997,-0.010712,0.004335,-0.000292
2022-02-11,-0.006554,0.013076,0.014893,-0.002712,-0.001756,-0.020623,0.009656,-0.001063,0.012121,-0.003782,0.006105,0.005171,0.005718,-0.003744,-0.005898,-0.010637,0.002581,-0.007808,0.005674,-0.01854
2022-02-14,0.014091,0.005815,0.00127,-0.007318,-0.007684,-0.004153,0.007043,0.00257,0.004598,0.009693,0.006884,0.008851,1.5e-05,-0.009821,0.01452,0.013635,-0.016587,-0.001736,0.02377,0.013384
2022-02-15,0.011086,-0.022414,-0.003133,-0.007117,-0.000515,-0.000385,0.010892,-0.004753,-0.00164,-0.008847,-0.014419,0.004056,0.011291,-4e-06,0.014439,-0.003945,0.005573,-0.020076,0.003835,0.01775
2022-02-16,-0.00689,0.005128,0.004155,-0.002933,0.00248,-0.001826,-0.007096,-0.000129,-0.0029,0.001007,-0.022373,-0.004005,0.010883,0.006788,0.01224,-0.00054,0.010473,0.016504,-0.004543,-0.000879
2022-02-17,0.029919,-0.004477,-0.018732,0.015885,0.001835,-0.014682,-0.012495,0.003959,-0.013853,-0.00786,-0.014433,0.001084,-0.000345,-0.017975,0.015388,-0.009915,-0.0042,0.021089,-0.001959,-0.005381
2022-02-18,-0.005765,0.008254,-0.005838,-0.02013,-0.013243,-0.006577,-0.00174,-0.016271,0.001252,-0.005118,-0.010848,-0.002983,0.018877,-0.0038,-0.001754,0.008399,-0.002258,0.004477,0.004065,-0.013294
2022-02-21,0.005239,-0.006751,-0.004144,-0.000741,-0.012052,0.007198,0.00805,0.02242,-0.005405,-0.003728,0.017139,-0.01744,-0.006321,0.014829,-0.008489,0.023815,-0.004944,-0.011069,0.000225,-2.1e-05
2022-02-22,-0.005396,-0.004939,0.001077,-0.004757,-0.010075,-0.000136,-0.001372,-0.016374,0.002883,-0.001398,0.013465,-0.005097,-0.010959,-0.008387,0.011976,0.005258,-0.000934,-0.011514,-0.005666,0.000121
2022-02-23,0.005681,-0.004486,0.013022,-0.002714,0.012061,-0.0145,0.006226,-0.003612,-0.020529,0.006879,-0.006119,0.010624,-0.011891,-0.000875,0.003375,-0.016216,-0.003244,0.005632,-0.008332,-0.006785
2022-02-24,0.008431,0.028052,-0.006405,0.004755,-0.006393,0.015421,-0.005689,0.002356,0.012164,-0.010594,0.005783,-0.002619,-0.017142,-0.006008,2.8e-05,-0.005497,0.008755,-0.003603,0.002038,0.004726
2022-02-25,0.021138,0.006748,-0.007536,0.015784,0.001555,0.002719,-0.012038,-0.003014,0.002462,-0.015571,-0.003544,0.000168,-0.007435,0.014093,0.0166,-0.013617,-0.019404,-0.014016,0.013502,-0.01217
2022-02-28,-0.002317,0.013922,0.006961,0.009741,0.000935,0.022583,-0.004363,-0.012121,0.001222,0.028574,0.016049,-0.002576,-0.01615,0.000699,0.005253,0.006277,-0.001012,-0.010233,-0.005319,0.004161
2022-03-01,0.014129,0.010471,-0.002403,-0.002111,0.011992,0.010947,0.005079,-0.022628,-0.013993,0.007402,0.011533,0.004772,0.001169,-4.5e-05,0.003782,-0.014514,-0.006984,0.005838,-0.002933,-0.001612
2022-03-02,-0.000328,0.003612,-0.005459,-0.010762,0.003079,-0.017243,-0.001703,-0.014297,0.010772,0.023829,-0.011676,0.009197,-0.004932,-0.006142,-0.004613,0.003676,0.006289,-0.007018,-0.006312,0.011118
2022-03-03,0.0139,-0.010582,-0.003254,0.010179,0.021025,0.002467,0.004981,-0.008845,0.010395,0.005023,-0.003495,0.00019,0.022522,0.015457,0.015505,-0.008876,-0.012123,-0.015685,0.006547,-0.011602
2022-03-04,-0.01036,0.01195,-0.018367,0.00541,-0.012047,0.001337,0.023893,0.003685,-0.002423,-0.002007,-0.002086,-0.00523,-0.016657,-0.008548,0.013918,0.012723,0.006557,-0.000181,0.006556,0.002826
2022-03-07,0.006344,0.015738,0.012813,-0.003112,-0.008465,-0.020477,-0.007081,-0.000626,-0.001061,-0.000109,0.004489,0.010377,-0.014983,-0.009576,-0.009553,0.00715,0.018509,0.002412,0.004817,-0.004678
2022-03-08,-0.009347,-0.006297,0.016338,-3.5e-05,-0.0017,0.006717,0.001355,0.011216,0.00042,0.00332,0.005559,-0.005517,-0.003578,0.006751,0.001751,-0.005201,0.000354,0.025691,-0.001329,-0.007362
2022-03-09,0.004579,0.017002,-0.001466,-0.001987,-0.003903,-0.012625,-0.000663,0.0112,0.004508,0.001393,-0.016647,-0.003253,-0.010905,-0.026574,-0.005762,0.006256,-0.009379,-0.008357,0.01775,0.006968
2022-03-10,0.012899,0.013413,0.006786,-0.000394,0.004833,0.014791,0.00275,0.001652,0.002218,0.009339,-0.004954,0.016984,0.009733,-0.006411,0.017946,-0.016917,-0.023168,0.00613,-0.007618,-0.006199
2022-03-11,0.005332,0.011012,0.022567,0.004936,-0.007118,0.005939,-0.003209,-0.005519,0.010947,0.012922,-0.018812,0.010336,0.001494,0.005181,-0.010061,-0.010864,-0.005085,0.005138,-0.002038,-0.004043
2022-03-14,0.00881,-0.00844,-0.019705,0.004172,-0.012405,0.001269,0.010434,-0.009196,-0.006388,-0.014463,-0.001435,-0.008509,-0.019211,-0.003399,0.008978,-0.013686,0.001339,-0.007875,-0.019567,0.01291
2022-03-15,0.00359,0.000309,-0.008658,-0.019574,0.007957,-0.008128,0.01726,-0.008279,-0.004593,-0.002513,-0.003564,0.003223,-0.001746,0.000403,-0.006836,0.014147,-9.5e-05,-0.004175,6.2e-05,-0.010496
2022-03-16,-0.00505,0.001557,0.00185,0.016931,-0.001264,0.002863,-0.010408,0.01173,-0.003232,0.019171,-0.018214,0.013532,-0.002749,-0.002815,-0.011958,0.005554,0.01144,-0.01375,0.001752,-0.007757
2022-03-17,0.002308,0.002246,-0.013011,-0.019086,-0.002469,0.007124,-0.01265,-0.001086,0.00551,-0.007136,-0.012666,-0.004594,0.007105,-0.0009,0.012137,-0.013246,0.023082,0.002492,-0.007835,0.013272
2022-03-18,-0.005267,-0.007651,-0.005542,-0.026413,0.006492,-0.002553,-0.005339,-0.01156,0.014077,-0.001444,-0.004948,0.007159,-0.006423,-0.006304,0.007981,0.006309,0.005222,0.005269,-0.000767,-0.010134
2022-03-21,-0.001513,0.016895,-0.003587,0.009632,-0.007482,0.002481,-0.007609,0.001687,-0.005664,-0.017831,-0.003751,0.008874,-0.006999,-0.005822,-0.004909,-0.005071,0.007663,0.001084,-0.002981,-0.011865
2022-03-22,0.013856,-0.001901,-0.003718,-0.012906,0.005398,0.001823,-0.000354,-0.016325,-0.016036,-0.003549,0.022104,-0.001455,0.007486,0.018889,0.014058,0.00176,-0.01815,0.002594,0.00692,0.00425
2022-03-23,-0.004735,-0.013094,0.005912,0.011397,3.7e-05,-0.002002,0.003478,-0.013886,-0.006626,-0.000869,-0.014001,0.006995,0.000361,0.006623,-0.014932,0.002876,-0.009348,0.003085,-0.01005,0.002687
2022-03-24,0.024155,-0.007951,0.003402,0.004235,0.011107,0.007459,0.008197,-0.013177,-0.004547,-0.01344,-0.010487,0.013698,-0.002035,-0.011416,-0.002904,0.010234,-0.008414,-0.003223,-0.00899,-0.009427
2022-03-25,0.004634,0.013399,-0.00659,0.016527,-0.008476,0.019374,0.002509,0.019764,-0.01034,0.008772,0.009785,-0.009469,-0.010926,-0.00154,-0.007391,0.010743,-0.005139,-0.001682,0.000833,0.018272
2022-03-28,0.011163,0.008221,0.00086,0.003807,-0.019312,-0.001842,-0.010397,0.000725,-0.000697,-0.005995,0.00105,0.001814,-0.011075,0.007254,0.00386,-0.001443,0.004091,0.012855,0.011656,0.00967
2022-03-29,0.002782,0.022846,0.017705,-0.019523,0.008651,-0.021838,0.010382,0.010585,0.001157,0.000231,0.005214,0.007897,0.002591,-0.014174,-0.005489,0.010957,0.001886,0.0007,0.013571,-0.002292
2022-03-30,-0.009073,-0.009838,0.01665,-0.005669,0.014498,0.001409,-0.00186,0.005223,-0.002846,-0.010754,0.008228,0.007854,-0.00645,-0.007932,0.022065,0.00308,0.008877,-0.007916,-0.009004,0.018319
2022-03-31,-0.012321,-0.01526,0.006491,-0.001705,-0.00953,-0.010674,0.003137,0.001993,-0.001403,-0.006522,0.013463,-0.017121,0.010738,0.027349,-0.00333,0.005129,-0.011573,-0.006974,0.023163,0.006321
2022-04-01,0.012106,0.009633,-0.01837,-0.017024,-0.006159,0.007327,-0.017149,0.006605,0.000125,0.015104,-0.003343,-0.007033,-0.005157,-0.00467,-0.00777,-0.011861,0.002748,0.02437,0.004831,0.01574
2022-04-04,-0.010656,0.009916,0.002989,0.009711,0.004213,-0.007207,-0.008586,0.003986,-0.004921,0.008156,-0.007393,-0.000478,0.004866,0.002547,0.002876,0.002417,-0.018285,-0.023653,0.011872,0.014084
2022-04-05,0.008014,0.009656,-0.003298,-0.025911,-0.00363,0.013165,-0.003803,-0.004103,0.006955,-0.00459,-0.003445,-0.007314,-0.002332,0.004343,0.015499,0.014909,-0.004606,-0.001828,0.006514,-0.00432
2022-04-06,-0.022176,0.018361,-0.009827,0.001519,-0.001017,0.001478,-0.004193,0.001623,-0.017476,0.001614,-0.006794,-0.002779,0.007378,-6.7e-05,0.00893,-0.003209,0.021532,-0.00551,-0.005905,-0.003747
2022-04-07,0.004649,-0.006417,0.007902,-0.002973,0.002335,-0.005687,0.014948,-0.011409,-0.010782,0.010489,-0.000409,0.006895,0.014129,0.007939,-0.007541,0.000681,-0.017503,-0.004862,-0.006257,-0.008363
2022-04-08,-0.007968,-0.000966,0.002745,-0.028078,0.012025,-0.003232,-0.001975,0.00453,0.023683,0.02305,-0.006037,0.010234,0.003246,-0.000108,-0.008523,-0.003635,0.005156,0.002329,0.024375,-0.008049
2022-04-11,0.000468,0.000929,0.011825,0.002403,0.005901,-0.00766,0.00457,-0.002929,0.005284,0.020296,0.008603,-0.006282,-0.005158,-0.000455,0.005001,0.006832,-0.009291,0.012977,0.000984,-0.008051
2022-04-12,-0.017459,-0.009992,-0.018906,0.011357,0.001348,0.004001,-0.011736,-0.027211,-0.001773,-0.003397,-0.004067,-0.000653,-0.001993,-0.02327,0.00126,0.007824,-0.002496,-0.023091,-0.001363,-0.009236
2022-04-13,0.003607,0.022354,-0.015938,-0.020061,0.007619,-0.019833,0.008867,-0.000306,-0.006879,-0.017384,-0.004454,-0.004082,0.003368,0.014883,-0.008932,0.008148,0.008989,-0.005905,-0.006687,0.006565
2022-04-14,-0.022616,0.002871,-0.01474,-0.005427,-8e-05,-0.006845,-0.005309,-0.003295,0.012668,-0.022899,0.016383,0.008578,-0.019165,0.005092,-0.00497,-0.010334,0.000488,0.005011,0.003906,-0.016728
2022-04-15,-0.008241,-0.007347,0.003986,0.007595,-0.002856,0.008497,0.001154,0.004327,-0.008032,0.016412,0.010157,0.004901,-0.016103,0.005119,0.007747,0.005817,-0.010458,-0.006814,0.021415,-0.011891
2022-04-18,-0.010659,0.003135,0.01458,-0.001074,0.00334,0.006543,-0.019887,-0.007745,-0.005926,-0.003639,-0.008843,-0.00224,0.019372,0.002166,0.012934,0.000734,0.00176,-0.000202,0.010943,-0.004654
2022-04-19,-0.001567,-0.016645,0.006791,-0.009338,0.006315,0.005557,0.001513,-0.000619,-0.007439,-0.005234,-0.005331,0.006698,0.003725,-0.002411,0.008787,0.010376,-0.030265,-0.008721,0.013413,0.006306
2022-04-20,-0.003879,0.006947,0.009504,0.008806,-0.009002,-0.005601,0.006109,0.00185,0.003638,-0.021553,0.009314,-0.000389,-0.007301,-0.004315,-0.007565,0.013291,-0.007775,0.00429,-0.006486,-0.009014
2022-04-21,-0.002474,0.008434,-0.009404,-0.019674,0.003767,-0.01175,0.000966,0.013603,0.00592,0.00525,-0.024408,-0.00254,0.005311,7.5e-05,0.001178,-0.008347,0.012387,-0.009417,-0.003761,-0.011643
2022-04-22,0.004031,0.005132,-0.002894,-0.005574,-0.001668,0.025575,-0.023496,-0.003307,0.007377,0.001833,-0.003579,0.001208,-0.005014,-0.010034,-0.005159,0.013029,0.008349,-0.004832,0.000105,0.001244
2022-04-25,0.0076,-0.01007,0.01172,-0.006569,0.005855,0.003813,-0.011611,0.005497,0.01176,0.021976,0.005871,-0.003323,-0.001673,0.012692,0.019046,0.004692,0.001129,0.006855,0.005928,-0.00058
2022-04-26,-0.006797,-0.006577,-0.010755,0.008398,0.002027,0.00775,-0.016189,-0.00192,-2.6e-05,0.003072,-0.007408,0.011752,-0.007773,-0.019795,-0.011731,-0.004098,0.005556,-0.022602,-0.001172,0.009936
2022-04-27,0.009794,-0.001913,0.01192,-0.00111,0.003599,-0.002363,-0.000218,0.020879,0.006493,0.008883,-0.002293,-0.009856,-0.003652,0.003021,-0.007117,0.009312,-0.019559,0.019528,-0.001374,0.020543
2022-04-28,0.019655,0.018106,-0.000218,0.005993,-0.010894,0.002021,-0.000336,-0.019282,-0.00869,0.013261,-0.012234,0.009561,5.4e-05,-0.001813,-0.014881,0.004177,0.006582,0.025408,-0.002336,-0.006054
2022-04-29,0.006137,0.001156,-0.005581,0.008436,0.002118,0.002549,0.012407,-0.00802,0.009667,-0.006978,0.004323,-0.000631,-0.001552,-0.037621,-0.002378,-0.010869,-0.00154,-0.002522,0.004911,-0.018347
2022-05-02,-0.002472,0.008104,-0.009765,0.001659,0.017719,0.001626,0.005397,-0.003969,-0.014705,-0.007786,0.005579,0.021086,-0.012889,-0.009625,-0.002724,-0.013638,-0.000968,0.003796,0.001296,-0.004538
2022-05-03,-0.018955,0.007518,-0.007663,8.8e-05,-0.005688,-0.010052,-0.006725,-0.006317,-0.018279,-0.014581,0.001863,0.007053,-0.001949,-0.012063,-0.002995,0.008875,-0.007008,0.010312,-0.004413,-0.000691
2022-05-04,-0.009891,0.003357,0.012694,-0.005462,0.002602,-0.008789,0.002721,0.003899,0.008293,-0.00394,-0.018469,0.000973,-0.001535,-0.008823,0.007963,-0.003566,0.00174,0.000103,0.004771,0.006534
2022-05-05,-0.006541,0.00341,0.009148,0.007926,0.007616,-0.020059,-0.006489,-0.00139,-0.002639,-0.006851,0.000128,0.025078,-0.004719,-0.003276,0.008491,-0.015883,-0.009358,-0.01174,0.000268,-0.009693
2022-05-06,-0.003906,-0.013255,0.001467,0.014553,-0.001863,-0.005324,-0.000902,-0.002281,0.008665,0.015443,-0.011003,0.002691,0.020817,0.006325,-0.012783,0.01277,-0.007328,-0.007193,-0.003699,-0.009239
2022-05-09,0.000774,0.002246,0.005678,0.003023,0.002206,0.002561,0.008144,0.003084,-0.01312,-0.01301,-0.007599,-0.002393,0.001465,-0.024233,-0.001359,0.004217,0.007649,-0.003535,-0.004391,0.004016
2022-05-10,0.010204,0.007826,-0.000479,0.002999,0.003972,-0.006484,-0.013137,-0.011224,0.003418,0.006514,-0.013847,0.010176,0.002812,-0.001726,-0.005506,-0.000888,-0.009564,0.014103,-0.015557,-0.000771
2022-05-11,-0.009118,0.006681,-0.019869,-0.008722,-0.006641,0.012869,0.007043,0.005661,-0.009258,0.013594,-0.006743,0.001983,0.005058,-0.002419,-0.004296,0.000103,-0.024387,0.010469,-0.004602,-0.006298
2022-05-12,0.018405,0.004255,0.00619,0.008555,0.01396,-0.012144,0.023974,0.004694,-0.012533,0.001538,0.014991,-0.007688,0.000827,-0.006542,-0.025091,-0.0072,-0.009341,-0.008411,0.011263,-0.002036
2022-05-13,0.009011,0.006899,-0.00687,-0.005955,-0.00897,0.011442,-0.01606,-0.013724,0.00311,-0.004596,0.015963,-0.010053,-0.000953,0.000251,-0.012192,-0.001517,0.001424,-0.00222,-0.00543,0.018336
2022-05-16,-0.002063,-0.00757,0.00186,0.008039,-0.010093,-0.011724,0.007344,-0.001591,0.014886,0.01653,-0.004361,-0.004883,-0.000899,0.001068,0.007138,-0.000174,0.006655,0.002995,-0.018721,-0.012116
2022-05-17,0.01521,0.003599,-0.009731,0.021761,0.013444,-0.014231,-0.001284,0.003106,-0.003288,-0.009202,0.007179,-0.002302,-0.002265,0.017322,-0.000341,-0.010644,-0.00088,0.006351,0.013099,0.004163
2022-05-18,-0.015833,-0.010589,-0.005512,-0.007587,0.005596,-0.008718,0.010185,0.012293,-0.000203,-0.014873,0.007403,0.004244,-0.003034,-0.004173,-0.003024,-0.007099,-0.004384,0.007409,-0.005334,0.013071
2022-05-19,-0.012374,0.013893,0.006986,0.002173,-0.005329,-0.011688,0.011553,-0.002555,-0.010957,0.00366,-0.012094,0.003351,0.002083,0.019132,-0.026867,0.005944,-0.003669,0.001093,0.00164,0.001169
2022-05-20,-0.001046,0.002103,-0.006452,-0.011702,-0.012672,0.004041,0.007237,0.003092,-0.009934,0.01356,-0.007055,-0.008562,-0.005584,0.003772,-0.020551,-0.012194,0.01719,-0.008561,-0.011917,-0.011044
2022-05-23,-0.017157,0.000534,-0.003672,0.0046,-0.030365,0.006929,-0.006601,0.016323,-0.018869,0.002355,-0.009346,-0.010563,-0.002292,-0.001013,-0.019507,-0.006522,0.025005,-0.005421,0.013067,-0.014659
2022-05-24,-0.000432,0.020821,0.005129,-0.009716,-0.014974,0.003501,-0.003901,-0.003166,-0.016456,0.011747,-0.014439,-0.001729,-0.000496,0.010567,-0.007921,-0.017661,0.001065,-0.003786,-0.014498,-0.006915
2022-05-25,0.001035,0.006254,0.00915,0.011211,0.007448,-0.007808,-9e-05,-0.003014,-0.009178,-0.019007,-0.003468,0.006549,-0.008415,0.006662,-0.004708,0.002039,-0.001086,0.011039,-0.004119,0.027953
2022-05-26,0.003755,-0.01204,-0.002521,-0.013176,-0.002009,-0.006154,0.015574,0.011837,0.005367,-0.003949,0.002383,-0.001871,0.022341,0.005392,0.003588,-0.007872,-0.007885,-0.010123,0.000455,0.012648
2022-05-27,-0.015256,-0.010039,-0.007599,0.014322,0.010708,0.004908,-0.002576,-0.009829,0.014024,-0.008868,0.001926,0.004754,-0.002626,0.015484,0.005349,-0.01903,0.007019,-0.014984,-0.014206,0.001223
2022-05-30,0.012758,0.003962,-0.001344,-0.000865,-0.000733,-0.001929,-0.01998,0.010471,-0.023311,-0.003681,0.013826,0.006348,-0.007342,0.015643,0.013903,-0.008383,-0.000973,-0.000534,-0.002468,-0.000764
2022-05-31,0.001295,0.014469,0.001018,0.017609,-0.004804,-0.002218,0.02014,-0.019005,-0.006438,-0.005708,0.003702,0.004951,-0.012299,0.002839,-0.014455,-0.017326,0.003638,0.016084,0.006301,-0.006372
2022-06-01,-0.00605,0.000982,-0.018994,-0.003333,-0.007947,0.001793,0.004351,-0.014904,0.003668,-0.009295,-0.014951,0.002806,0.002138,-0.001625,0.004953,0.007448,0.006706,0.003654,-0.009459,-0.015464
2022-06-02,-0.018893,0.006825,-0.002091,0.009614,0.001969,-0.006179,-0.005116,0.004012,-0.00202,0.000503,0.012454,-0.011398,0.001964,0.003164,-0.00042,0.004062,-0.022702,0.005667,-0.000164,0.002362
2022-06-03,0.015739,-0.001996,-1.4e-05,-0.003878,-0.016946,-0.013515,-0.009727,-0.001185,-0.001168,0.002193,0.005545,0.007712,-0.003114,0.008142,-0.005359,-0.00247,-0.011785,0.015168,0.005143,0.010784
2022-06-06,-0.005209,0.004032,-0.007235,-0.008509,0.002684,-0.005553,0.008807,-0.008078,-0.019291,0.003886,0.004137,-0.009261,0.015328,0.00635,0.015959,0.002898,-0.012884,0.00398,-0.001292,0.000917
2022-06-07,0.003988,-0.000179,-0.00289,-0.008638,0.012212,0.012407,0.001003,0.000135,-0.001087,-0.000926,-0.021364,-0.004344,0.012234,0.002872,0.011271,-0.003917,-0.01814,0.005564,0.012388,0.005668
2022-06-08,-0.022669,-0.003094,0.006818,-0.01342,-0.004027,-0.008416,0.014005,-0.012609,0.003928,-0.021729,-0.003692,0.013506,-0.014963,0.01122,0.009001,0.004662,0.012384,0.000771,0.004151,-0.011435
2022-06-09,-0.006666,0.004557,-0.015796,0.004098,0.013505,-0.006904,-0.007948,0.004061,0.006745,-0.012819,-0.002956,0.004138,-3.1e-05,0.004575,0.002096,0.003312,-0.002121,0.013477,-0.002438,0.003253
2022-06-10,-0.003728,0.00015,-0.010529,0.000426,0.010814,-0.002963,-0.005528,-0.010181,-0.012548,-0.007624,-0.006559,0.002622,0.000817,-0.014922,0.011974,-0.007441,0.003951,-0.016369,-0.014569,0.00884
2022-06-13,0.003985,0.000169,0.010634,0.00683,-0.009269,-0.012804,0.006787,-0.014746,0.009689,0.001709,-0.003741,0.003488,-0.000508,-0.001041,0.014534,0.004142,0.003537,-0.009378,0.008083,0.006244
2022-06-14,-0.005846,-0.005212,0.010466,-0.001013,-0.018723,0.013142,-0.005446,0.005281,0.008776,0.005784,-0.002657,-0.007129,0.012561,-0.013919,0.006291,0.00516,0.000773,-0.007577,0.010522,0.004216
